,h,T,M,lambda,s
374,23612,-2880000,1460000,0.0002549,0.000206086
375,23931,-2880000,1460000,0.0002549,0.000206086
376,24250,-2880000,1460000,0.0002549,0.000206086
377,24569,-2880000,1460000,0.0002549,0.000206086
378,24888,-2880000,1460000,0.0002549,0.000206086
379,25207,-2880000,1460000,0.0002549,0.000206086
380,25526,-2880000,1460000,0.0002549,0.000206086
381,25845,-2880000,1460000,0.0002549,0.000206086
382,26165,-2880000,1460000,0.0002549,0.000206086
383,26484,-2880000,1460000,0.000255,0.000206186
384,26803,-2880000,1460000,0.000255,0.000206186
385,27122,-2880000,1460000,0.000255,0.000206186
386,27441,-2880000,1460000,0.000255,0.000206186
387,27760,-2880000,1460000,0.000255,0.000206186
388,28079,-2880000,1460000,0.000255,0.000206186
389,28398,-2880000,1460000,0.0002549,0.000206086
390,28717,-2880000,1460000,0.0002549,0.000206086
391,29036,-2880000,1460000,0.0002549,0.000206086
392,29355,-2880000,1460000,0.0002549,0.000206086
393,29674,-2880000,1460000,0.0002549,0.000206086
394,29994,-2880000,1460000,0.0002549,0.000206086
395,30313,-2880000,1460000,0.0002549,0.000206086
396,30632,-2880000,1460000,0.0002549,0.000206086
397,30951,-2880000,1460000,0.0002549,0.000206086
398,31270,-2880000,1460000,0.0002549,0.000206086
399,31589,-2880000,1460000,0.000255,0.000206186
400,0,-3840000,96259,1.67E-05,-4.84E-05
401,319.08,-3840000,230000,3.84E-05,-2.67E-05
402,638.16,-3840000,466000,7.86E-05,1.35E-05
403,957.24,-3840000,784000,0.0001343,6.92E-05
404,1276.3,-3840000,1080000,0.0001872,0.000122115
405,1595.4,-3840000,1280000,0.0002221,0.000157015
406,1914.5,-3840000,1380000,0.0002403,0.000175215
407,2233.6,-3840000,1420000,0.0002487,0.000183615
408,2552.6,-3840000,1440000,0.0002523,0.000187215
409,2871.7,-3840000,1450000,0.0002537,0.000188615
410,3190.8,-3840000,1450000,0.0002544,0.000189315
411,3509.9,-3840000,1450000,0.0002547,0.000189615
412,3829,-3840000,1460000,0.0002548,0.000189715
413,4148,-3840000,1460000,0.0002549,0.000189815
414,4467.1,-3840000,1460000,0.0002549,0.000189815
415,4786.2,-3840000,1460000,0.0002548,0.000189715
416,5105.3,-3840000,1460000,0.0002549,0.000189815
417,5424.4,-3840000,1460000,0.0002549,0.000189815
418,5743.4,-3840000,1460000,0.0002549,0.000189815
419,6062.5,-3840000,1460000,0.0002549,0.000189815
420,6381.6,-3840000,1460000,0.0002549,0.000189815
421,6700.7,-3840000,1460000,0.0002549,0.000189815
422,7019.8,-3840000,1460000,0.0002548,0.000189715
423,7338.8,-3840000,1460000,0.0002549,0.000189815
424,7657.9,-3840000,1460000,0.0002549,0.000189815
425,7977,-3840000,1460000,0.0002549,0.000189815
426,8296.1,-3840000,1460000,0.0002549,0.000189815
427,8615.2,-3840000,1460000,0.0002549,0.000189815
428,8934.2,-3840000,1460000,0.0002549,0.000189815
429,9253.3,-3840000,1460000,0.0002549,0.000189815
430,9572.4,-3840000,1460000,0.0002549,0.000189815
431,9891.5,-3840000,1460000,0.0002549,0.000189815
432,10211,-3840000,1460000,0.0002549,0.000189815
433,10530,-3840000,1460000,0.0002549,0.000189815
434,10849,-3840000,1460000,0.0002549,0.000189815
435,11168,-3840000,1460000,0.0002549,0.000189815
436,11487,-3840000,1460000,0.0002549,0.000189815
437,11806,-3840000,1460000,0.0002549,0.000189815
438,12125,-3840000,1460000,0.0002549,0.000189815
439,12444,-3840000,1460000,0.0002549,0.000189815
440,12763,-3840000,1460000,0.0002549,0.000189815
441,13082,-3840000,1460000,0.0002549,0.000189815
442,13401,-3840000,1460000,0.0002549,0.000189815
443,13720,-3840000,1460000,0.0002549,0.000189815
444,14040,-3840000,1460000,0.0002549,0.000189815
445,14359,-3840000,1460000,0.0002549,0.000189815
446,14678,-3840000,1460000,0.0002549,0.000189815
447,14997,-3840000,1460000,0.0002549,0.000189815
448,15316,-3840000,1460000,0.0002549,0.000189815
449,15635,-3840000,1460000,0.0002549,0.000189815
450,15954,-3840000,1460000,0.0002549,0.000189815
451,16273,-3840000,1460000,0.0002549,0.000189815
452,16592,-3840000,1460000,0.0002549,0.000189815
453,16911,-3840000,1460000,0.0002549,0.000189815
454,17230,-3840000,1460000,0.0002549,0.000189815
455,17549,-3840000,1460000,0.000255,0.000189915
456,17868,-3840000,1460000,0.000255,0.000189915
457,18188,-3840000,1460000,0.0002549,0.000189815
458,18507,-3840000,1460000,0.0002549,0.000189815
459,18826,-3840000,1460000,0.0002549,0.000189815
460,19145,-3840000,1460000,0.0002549,0.000189815
461,19464,-3840000,1460000,0.000255,0.000189915
462,19783,-3840000,1460000,0.000255,0.000189915
463,20102,-3840000,1460000,0.0002549,0.000189815
464,20421,-3840000,1460000,0.0002549,0.000189815
465,20740,-3840000,1460000,0.0002549,0.000189815
466,21059,-3840000,1460000,0.0002549,0.000189815
467,21378,-3840000,1460000,0.0002549,0.000189815
468,21697,-3840000,1460000,0.0002549,0.000189815
469,22017,-3840000,1460000,0.0002549,0.000189815
470,22336,-3840000,1460000,0.0002549,0.000189815
471,22655,-3840000,1460000,0.0002549,0.000189815
472,22974,-3840000,1460000,0.0002549,0.000189815
473,23293,-3840000,1460000,0.0002549,0.000189815
474,23612,-3840000,1460000,0.0002549,0.000189815
475,23931,-3840000,1460000,0.0002549,0.000189815
476,24250,-3840000,1460000,0.0002549,0.000189815
477,24569,-3840000,1460000,0.0002549,0.000189815
478,24888,-3840000,1460000,0.0002549,0.000189815
479,25207,-3840000,1460000,0.0002549,0.000189815
480,25526,-3840000,1460000,0.0002549,0.000189815
481,25845,-3840000,1460000,0.0002549,0.000189815
482,26165,-3840000,1460000,0.0002549,0.000189815
483,26484,-3840000,1460000,0.0002549,0.000189815
484,26803,-3840000,1460000,0.000255,0.000189915
485,27122,-3840000,1460000,0.000255,0.000189915
486,27441,-3840000,1460000,0.000255,0.000189915
487,27760,-3840000,1460000,0.000255,0.000189915
488,28079,-3840000,1460000,0.000255,0.000189915
489,28398,-3840000,1460000,0.0002549,0.000189815
490,28717,-3840000,1460000,0.0002549,0.000189815
491,29036,-3840000,1460000,0.0002549,0.000189815
492,29355,-3840000,1460000,0.0002549,0.000189815
493,29674,-3840000,1460000,0.0002549,0.000189815
494,29994,-3840000,1460000,0.0002549,0.000189815
495,30313,-3840000,1460000,0.0002549,0.000189815
496,30632,-3840000,1460000,0.0002549,0.000189815
497,30951,-3840000,1460000,0.0002549,0.000189815
498,31270,-3840000,1460000,0.0002549,0.000189815
499,31589,-3840000,1460000,0.0002549,0.000189815
500,0,-4800000,66697,1.16E-05,-6.98E-05
501,319.08,-4800000,167000,2.74E-05,-5.40E-05
502,638.16,-4800000,356000,5.92E-05,-2.22E-05
503,957.24,-4800000,646000,0.0001095,2.81E-05
504,1276.3,-4800000,965000,0.0001659,8.45E-05
505,1595.4,-4800000,1210000,0.0002093,0.000127944
506,1914.5,-4800000,1340000,0.000234,0.000152644
507,2233.6,-4800000,1410000,0.0002459,0.000164544
508,2552.6,-4800000,1440000,0.0002511,0.000169744
509,2871.7,-4800000,1450000,0.0002533,0.000171944
510,3190.8,-4800000,1450000,0.0002541,0.000172744
511,3509.9,-4800000,1450000,0.0002545,0.000173144
512,3829,-4800000,1460000,0.0002547,0.000173344
513,4148,-4800000,1460000,0.0002548,0.000173444
514,4467.1,-4800000,1460000,0.0002549,0.000173544
515,4786.2,-4800000,1460000,0.0002548,0.000173444
516,5105.3,-4800000,1460000,0.0002548,0.000173444
517,5424.4,-4800000,1460000,0.0002549,0.000173544
518,5743.4,-4800000,1460000,0.0002549,0.000173544
519,6062.5,-4800000,1460000,0.0002549,0.000173544
520,6381.6,-4800000,1460000,0.0002549,0.000173544
521,6700.7,-4800000,1460000,0.0002549,0.000173544
522,7019.8,-4800000,1460000,0.0002548,0.000173444
523,7338.8,-4800000,1460000,0.0002548,0.000173444
524,7657.9,-4800000,1460000,0.0002549,0.000173544
525,7977,-4800000,1460000,0.0002549,0.000173544
526,8296.1,-4800000,1460000,0.0002549,0.000173544
527,8615.2,-4800000,1460000,0.0002549,0.000173544
528,8934.2,-4800000,1460000,0.0002549,0.000173544
529,9253.3,-4800000,1460000,0.0002549,0.000173544
530,9572.4,-4800000,1460000,0.0002549,0.000173544
531,9891.5,-4800000,1460000,0.0002549,0.000173544
532,10211,-4800000,1460000,0.0002549,0.000173544
533,10530,-4800000,1460000,0.0002549,0.000173544
534,10849,-4800000,1460000,0.0002549,0.000173544
535,11168,-4800000,1460000,0.0002549,0.000173544
536,11487,-4800000,1460000,0.0002549,0.000173544
537,11806,-4800000,1460000,0.0002549,0.000173544
538,12125,-4800000,1460000,0.0002549,0.000173544
539,12444,-4800000,1460000,0.0002549,0.000173544
540,12763,-4800000,1460000,0.0002549,0.000173544
541,13082,-4800000,1460000,0.0002549,0.000173544
